date,state,number_of_cases
2020-06-04,Maharashtra,0
2020-06-04,Tamil Nadu,0
2020-06-04,Delhi,0
2020-06-04,Gujarat,0
2020-06-04,Rajasthan,0
2020-06-04,Uttar Pradesh,0
2020-06-04,Madhya Pradesh,0
2020-06-04,Unknown*,0
2020-06-04,West Bengal,0
2020-06-04,Bihar,0
2020-06-04,Karnataka,0
2020-06-04,Andhra Pradesh,0
2020-06-04,Telangana,0
2020-06-04,Haryana,0
2020-06-04,Jammu and Kashmir,0
2020-06-04,Odisha,0
2020-06-04,Punjab,0
2020-06-04,Assam,0
2020-06-04,Kerala,0
2020-06-04,Uttarakhand,0
2020-06-04,Jharkhand,0
2020-06-04,Chhattisgarh,0
2020-06-04,Tripura,0
2020-06-04,Himachal Pradesh,0
2020-06-04,Chandigarh,0
2020-06-04,Goa,0
2020-06-04,Manipur,0
2020-06-04,Ladakh,0
2020-06-04,Puducherry,0
2020-06-04,Nagaland,0
2020-06-04,Arunachal Pradesh,0
2020-06-04,Andaman and Nicobar Islands,0
2020-06-04,Meghalaya,0
2020-06-04,Mizoram,0
2020-06-04,Dadra and Nagar Haveli,0
2020-06-04,Sikkim,0
2020-06-04,Lakshadweep,0
2020-06-04,Daman and Diu,0
